metric,v1,baseline,v1_1_value
rmse,153.46755701284496,160.00562233466152,148.2993096906641
rsq,0.06890240717979025,-0.10957219646688698,0.046845422309519824
mae,67.9116441937723,75.94011566114173,63.395944563773355
